item_id,item_name,ip_name,category,release_type,price_pattern
item_001,ONE PIECE プロモカードA,ONE PIECE,promo_card,limited,restock_decline
item_002,架空IP-A 未開封BOXB,架空IP-A,sealed_box,limited,flat
item_003,架空IP-A 映画特典カードC,架空IP-A,movie_bonus,limited,initial_spike
item_004,呪術廻戦 未開封BOXD,呪術廻戦,sealed_box,limited,post_distribution_rise
item_005,ONE PIECE プロモカードE,ONE PIECE,promo_card,limited,overseas_follow
item_006,架空IP-B 書店特典カードF,架空IP-B,bookstore_bonus,limited,initial_spike
item_007,架空ゲームD プロモカードG,架空ゲームD,promo_card,limited,rising
item_008,ONE PIECE 書店特典カードH,ONE PIECE,bookstore_bonus,limited,flat
item_009,推しの子 書店特典カードI,推しの子,bookstore_bonus,limited,flat
item_010,架空TCG プロモカードJ,架空TCG,promo_card,limited,flat
item_011,架空IP-A プロモカードK,架空IP-A,promo_card,limited,initial_spike
item_012,呪術廻戦 プロモカードL,呪術廻戦,promo_card,limited,overseas_follow
item_013,架空アニメC 映画特典カードM,架空アニメC,movie_bonus,limited,post_distribution_rise
item_014,架空TCG 映画特典カードN,架空TCG,movie_bonus,limited,restock_decline
item_015,架空IP-A 映画特典カードO,架空IP-A,movie_bonus,limited,flat
item_016,推しの子 書店特典カードP,推しの子,bookstore_bonus,limited,post_distribution_rise
item_017,SPY×FAMILY 未開封BOXQ,SPY×FAMILY,sealed_box,limited,rising
item_018,推しの子 プロモカードR,推しの子,promo_card,limited,flat
item_019,鬼滅の刃 未開封BOXS,鬼滅の刃,sealed_box,limited,restock_decline
item_020,架空アニメC 映画特典カードT,架空アニメC,movie_bonus,limited,rising
item_021,架空ゲームD 未開封BOXU,架空ゲームD,sealed_box,limited,restock_decline
item_022,鬼滅の刃 映画特典カードV,鬼滅の刃,movie_bonus,limited,post_distribution_rise
item_023,ONE PIECE 書店特典カードW,ONE PIECE,bookstore_bonus,limited,rising
item_024,架空IP-B 映画特典カードX,架空IP-B,movie_bonus,limited,overseas_follow
item_025,架空IP-B 未開封BOXY,架空IP-B,sealed_box,limited,initial_spike
item_026,架空アニメC プロモカードZ,架空アニメC,promo_card,limited,initial_spike
item_027,架空アニメC 書店特典カードA,架空アニメC,bookstore_bonus,limited,overseas_follow
item_028,SPY×FAMILY 書店特典カードB,SPY×FAMILY,bookstore_bonus,limited,rising
item_029,ONE PIECE 未開封BOXC,ONE PIECE,sealed_box,limited,rising
item_030,架空アニメC 映画特典カードD,架空アニメC,movie_bonus,limited,restock_decline
